significant_genes,coef
GPR98,0.35668876455465093
GRID2,-0.1735173281730822
GRIN2A,-0.05735942824475002
GRIN2B,-0.09969164621833615
GTF3C1,1.5434133956965275
HCN1,-0.356386068281918
HECW1,-0.3773076482905538
HEPH,0.01003711106250589
HERC2,-0.478647863730498
HMCN1,0.10107437401190165
HRNR,0.3851285514048409
HUWE1,-0.4834588172167439
HYDIN,-0.01314104531501825
ITGA8,-0.18887018601679328
KCNB2,0.6055584046272395
KCNT2,-0.42231361897306013
KEAP1,0.21796095449657915
KIAA1109,-0.3428900261580856
KIF2B,-0.3163004645708842
KMT2C,-0.15452274785250966
KMT2D,-0.03248936288915947
KRAS,0.40337214610716127
LAMA2,-0.6457385335560745
LCT,-0.1684125190853748
LPHN3,-0.3509357202481585
LRFN5,-0.06238994776271168
LRP1,-0.20663947551315384
LRP1B,0.3486234806191007
LRP2,-0.605350990674847
LRRC7,-0.37561796787686275
LRRTM4,-0.07389941980216094
MAGEC1,-0.26869233349198834
MALAT1,0.5036568641361215
MGAM,-0.08738957707491887
MROH9,0.3390822329274407
MUC16,-0.10267663233640845
MUC17,-0.13350081633738564
MUC5AC,0.23430545180003762
MUC5B,-0.20383791500309886
MXRA5,0.21395800335523726
MYH1,-0.38477526543293245
MYH13,0.9690780625774493
MYH2,-0.9652798227582952
MYH4,-0.4108520918972798
MYH6,1.2681741630214955
MYH7,0.22200967274316355
MYH8,-0.36767564993101315
MYO16,-0.2206576832619424
MYO18B,0.06698662340140261
MYO7B,-0.09226153986205105
NALCN,-0.17577641773231456
NAV3,0.8485690740722427
NCKAP5,1.3223149218227594
NDST4,0.08582269299345652
NEB,0.15332755898973635
NELL1,-0.11006937541050385
NELL2,0.3454726799924645
NF1,0.2627735656953795
NFASC,-0.059887496968542
NLGN4X,0.11336641325398877
NLRP12,0.332723534766028
NLRP3,0.6458295640417917
NLRP5,-0.06490699121612524
NOTCH4,0.4152598535136739
NPAP1,0.35405184041587295
NRXN1,-0.03515435814080333
NTRK3,-0.12502491732259532
OBSCN,-0.6444971129366909
OCA2,0.12159758528647785
OR2L13,-0.4911412084191647
OR2T3,-0.25018850753792055
OR2T33,2.180750310860495
OR4A15,0.8257046626624055
OR6F1,1.5636341681963748
OTOGL,-0.04427451954116837
OVCH1,0.20079150355626144
PAPPA2,-0.043807589985314865
PCDH10,-0.8445845304886695
PCDH11X,0.04284084301739851
PCDH15,0.7914375911542438
PCDH17,-0.039427070069077585
PCDHB10,-0.3770764644932338
PCDHB2,0.21043677231991162
PCDHB7,-0.41683385964538744
PCLO,-0.8184362926342184
PCNXL2,-0.02912112933758896
PDE4DIP,-0.41577396624836904
PDGFRA,-0.18161350348309055
PEG3,-0.22995152180391742
PKD1L1,-0.006498354191320896
PKHD1,-0.998632471297226
PKHD1L1,0.4819384807123734
PLCB1,0.2030256156719403
PLEC,0.24091959608904667
PLXNA4,-0.07658764719354402
POM121L12,-0.03514905626279238
POTEF,-0.21715258354219577
POTEH,0.1558504293095667
PRDM9,-0.6663661967122599
PRKDC,1.3757863109377824
PRUNE2,0.6126858396460556
PTPRC,-1.0939823404605309
PTPRD,0.21635848439355018
PTPRT,0.7120325096525096
PTPRZ1,0.2826419381880341
PXDNL,0.1449799814463825
REG3A,1.492718129404698
RELN,-0.5981875346584098
RGPD4,0.13799676621014315
RIMS2,0.36237520222293435
RNF213,-0.5410200284916902
ROBO2,0.2638693498937089
RP11-193H5.1,-0.12046674213162473
RP1L1,-0.6381365862365214
RYR1,-0.28542036215411587
RYR2,-0.10644096308452991
RYR3,0.1115286573153569
SALL1,-0.14399021486192612
SCN10A,0.5029103002506778
SCN11A,-0.5310864110822527
SCN1A,-0.08534875175177958
SCN3A,0.7613748430558074
SDK1,0.143481009600724
SI,0.1566891819960448
SLC8A1,-0.3934826436836304
SLIT2,-0.19570090116289163
SLIT3,1.0248055215318224
SLITRK1,-0.044077760377855914
SLITRK2,0.49805071649566723
SMARCA4,0.23838189121397346
SNTG1,-0.11310760351303115
SORCS1,0.616788655875789
SORCS3,0.9347265362932813
SPATA31A6,-0.16483169180790772
